Modulo,Turno,Valvula,Frecuencia,Archivos
13,7,1,2,fact_Censo_Plantas.xlsx
13,10,1,2,fact_Censo_Plantas.xlsx
13,11,1,2,fact_Censo_Plantas.xlsx
13,8,1,2,fact_Censo_Plantas.xlsx
13,9,1,2,fact_Censo_Plantas.xlsx
13,14,1,2,fact_Censo_Plantas.xlsx
13,15,1,2,fact_Censo_Plantas.xlsx
13,16,1,2,fact_Censo_Plantas.xlsx
13,17,1,2,fact_Censo_Plantas.xlsx
13,18,1,2,fact_Censo_Plantas.xlsx
13,19,1,2,fact_Censo_Plantas.xlsx
11,18,1,2,fact_Censo_Plantas.xlsx
11,17,1,2,fact_Censo_Plantas.xlsx
12,8,1,2,fact_Censo_Plantas.xlsx
12,7,1,2,fact_Censo_Plantas.xlsx
12,6,1,2,fact_Censo_Plantas.xlsx
12,5,1,2,fact_Censo_Plantas.xlsx
12,4,1,2,fact_Censo_Plantas.xlsx
12,13,1,2,fact_Censo_Plantas.xlsx
12,12,1,2,fact_Censo_Plantas.xlsx
12,11,1,2,fact_Censo_Plantas.xlsx
12,15,1,2,fact_Censo_Plantas.xlsx
12,14,1,2,fact_Censo_Plantas.xlsx
12,19,1,2,fact_Censo_Plantas.xlsx
12,20,1,2,fact_Censo_Plantas.xlsx
13,2,1,2,fact_Censo_Plantas.xlsx
13,3,1,2,fact_Censo_Plantas.xlsx
11,22,1,2,fact_Censo_Plantas.xlsx
11,23,1,2,fact_Censo_Plantas.xlsx
14,15,1,2,fact_Censo_Plantas.xlsx
14,2,1,2,fact_Censo_Plantas.xlsx
14,3,1,2,fact_Censo_Plantas.xlsx
14,4,1,2,fact_Censo_Plantas.xlsx
14,7,1,2,fact_Censo_Plantas.xlsx
14,8,1,2,fact_Censo_Plantas.xlsx
14,5,1,2,fact_Censo_Plantas.xlsx
14,6,1,2,fact_Censo_Plantas.xlsx
14,14,1,2,fact_Censo_Plantas.xlsx
14,9,1,2,fact_Censo_Plantas.xlsx
14,11,1,2,fact_Censo_Plantas.xlsx
14,12,1,2,fact_Censo_Plantas.xlsx
14,16,1,2,fact_Censo_Plantas.xlsx
14,13,1,2,fact_Censo_Plantas.xlsx
13,12,1,2,fact_Censo_Plantas.xlsx
13,13,1,2,fact_Censo_Plantas.xlsx
4,3,1,1,fact_Censo_Plantas.xlsx
4,6,1,1,fact_Censo_Plantas.xlsx
11,2,4,1,fact_Censo_Plantas.xlsx
5,16,1,1,fact_Censo_Plantas.xlsx
5,12,1,1,fact_Censo_Plantas.xlsx
5,13,1,1,fact_Censo_Plantas.xlsx
4,5,1,1,fact_Censo_Plantas.xlsx
5,15,1,1,fact_Censo_Plantas.xlsx
4,7,1,1,fact_Censo_Plantas.xlsx
5,9,1,1,fact_Censo_Plantas.xlsx
5,10,1,1,fact_Censo_Plantas.xlsx
4,8,1,1,fact_Censo_Plantas.xlsx
4,4,1,1,fact_Censo_Plantas.xlsx
5,11,1,1,fact_Censo_Plantas.xlsx
5,14,1,1,fact_Censo_Plantas.xlsx
13,19,13,1,historico_BI_Cosecha3.xlsx
